Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
127216066,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
127220811,00000201,false,Rx,0,8,00,FE,FE,00,00,00,CB,00,
127221834,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
127221835,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
127226911,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
127227902,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
127231838,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
828,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
5697,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
8690,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
9704,00000201,false,Rx,0,8,00,FE,FE,00,00,00,CC,00,
10702,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
14760,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
19741,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
20757,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
28748,00000201,false,Rx,0,8,00,FE,FE,00,00,00,CD,00,
29767,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
29768,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
34871,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
39742,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
40735,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
48774,00000201,false,Rx,0,8,00,FE,FE,00,00,00,CE,00,
49777,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
59641,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
60632,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
60633,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
68798,00000201,false,Rx,0,8,00,FE,FE,00,00,00,CF,00,
69773,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
69774,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
75770,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
79749,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
80739,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
84117,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
88798,00000201,false,Rx,0,8,00,FE,FE,00,00,00,D0,00,
89791,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
94895,00000766,false,Rx,0,8,18,04,00,00,00,03,00,00,
99752,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
100742,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
105532,0000049A,false,Rx,0,7,00,AF,33,FA,DF,34,D0,00,
108770,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
