Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5453,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
11372,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
46227,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
47635,00000711,false,Rx,0,8,04,03,DE,4B,06,70,00,B1,
86426,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
111462,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
127491,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
151051,00000711,false,Rx,0,8,04,03,DE,4B,06,70,00,B1,
167288,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
208349,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
211360,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
250584,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
257550,00000711,false,Rx,0,8,04,03,DE,4B,06,70,00,B1,
291649,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
311306,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
331239,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
364116,00000711,false,Rx,0,8,04,03,DE,4B,06,70,00,B1,
372079,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
411328,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
412336,0000069F,false,Rx,0,4,89,55,10,0F,00,00,00,00,
413334,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
453983,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
470950,00000711,false,Rx,0,8,04,03,DE,4B,06,70,00,B1,
495019,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
511311,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
536651,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
578721,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
579897,00000711,false,Rx,0,8,04,03,DE,4B,06,70,00,B1,
611280,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
619567,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
634391,000007D1,false,Rx,0,7,03,DE,4B,00,00,00,FF,00,
658637,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
684889,00000711,false,Rx,0,8,04,03,DE,4B,06,70,00,B1,
699713,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
711322,00000766,false,Rx,0,8,00,00,00,00,00,03,00,00,
