Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1290000095,000001BA,false,Rx,0,6,10,43,C0,49,61,A7,00,00,
1290009045,000000FA,false,Rx,0,8,17,78,42,10,42,1A,1A,00,
1290011840,00000201,false,Rx,0,8,00,FE,FE,00,00,00,31,00,
1290012832,00000101,false,Rx,0,8,00,00,00,00,00,00,23,00,
1290017344,00000102,false,Rx,0,3,00,00,01,00,00,00,00,00,
1290018347,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1290019348,000000FA,false,Rx,0,8,17,78,42,10,42,1A,1A,00,
1290020377,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290029092,000000FA,false,Rx,0,8,17,78,42,10,42,1A,1A,00,
1290031723,00000741,false,Rx,0,6,00,00,00,00,00,40,00,00,
1290032741,00000201,false,Rx,0,8,00,FE,FE,00,00,00,32,00,
1290038201,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1290039189,000000FA,false,Rx,0,8,17,80,42,10,42,1A,1A,00,
1290040193,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290049202,000000FA,false,Rx,0,8,17,80,42,10,42,1A,1A,00,
1290051813,00000201,false,Rx,0,8,00,FE,FE,00,00,00,33,00,
1290052810,00000101,false,Rx,0,8,00,00,00,00,00,00,23,00,
1290058777,00000102,false,Rx,0,3,00,00,01,00,00,00,00,00,
1290059778,000000FA,false,Rx,0,8,17,88,42,10,42,1A,1A,00,
1290059779,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290060782,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1290069010,000000FA,false,Rx,0,8,17,88,42,10,42,1A,1A,00,
1290071771,00000201,false,Rx,0,8,00,FE,FE,00,00,00,34,00,
1290079069,000000FA,false,Rx,0,8,17,88,42,10,42,1A,1A,00,
1290080039,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290084054,0000077A,false,Rx,0,8,4D,1E,5D,80,1E,00,00,FF,
1290085494,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1290089148,000000FA,false,Rx,0,8,17,88,42,10,42,1A,1A,00,
1290091774,00000201,false,Rx,0,8,00,FE,FE,00,00,00,35,00,
1290092793,00000101,false,Rx,0,8,00,00,00,00,00,00,23,00,
1290099012,000000FA,false,Rx,0,8,17,88,42,10,42,1A,1A,00,
1290100067,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290101268,00000102,false,Rx,0,3,00,00,01,00,00,00,00,00,
1290109032,000000FA,false,Rx,0,8,17,88,42,10,42,1A,1A,00,
1290111771,00000201,false,Rx,0,8,00,FE,FE,00,00,00,36,00,
1290118250,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1290119265,000000FA,false,Rx,0,8,17,80,42,10,42,1A,1A,00,
1290120267,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290129104,000000FA,false,Rx,0,8,17,80,42,10,42,1A,1A,00,
1290131766,00000741,false,Rx,0,6,00,00,00,00,00,40,00,00,
1290132725,00000201,false,Rx,0,8,00,FE,FE,00,00,00,37,00,
1290132726,00000101,false,Rx,0,8,00,00,00,00,00,00,23,00,
1290138166,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1290139189,000000FA,false,Rx,0,8,17,88,42,10,42,1A,1A,00,
1290140188,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290141208,00000102,false,Rx,0,3,00,00,01,00,00,00,00,00,
1290148991,000000FA,false,Rx,0,8,17,88,42,10,42,1A,1A,00,
1290151734,00000201,false,Rx,0,8,00,FE,FE,00,00,00,38,00,
1290159019,000000FA,false,Rx,0,8,17,80,42,10,42,1A,1A,00,
1290160003,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290164942,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1290169095,000000FA,false,Rx,0,8,17,80,42,10,42,1A,1A,00,
1290171751,00000201,false,Rx,0,8,00,FE,FE,00,00,00,39,00,
1290172766,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
